,name,lat,long,address,zipcode
56,Capitol Records Building,34.103244000000004,-118.32639420000001,"1750 Vine St, Los Angeles, CA 90028, USA",90028
57,Carroll Avenue,34.06969539999999,-118.25505079999999,"Carroll Ave, Los Angeles, CA 90026, USA",90026
58,Casa de Rosas,34.03104709999999,-118.28380209999999,"2600 S. Hoover Street, W Adams Blvd, Los Angeles, CA 90007, USA",90007
59,Case Study Houses,34.1005052,-118.37029129999999,"BY RESERVATION ONLY, 1635 Woods Dr, West Hollywood, CA 90069, USA",90069
60,Cathedral of Our Lady of the Angels,34.0577215,-118.24499479999999,"555 W Temple St, Los Angeles, CA 90012, USA",90012
61,Cathedral of Saint Vibiana,34.0505778,-118.24463329999999,"214 S Main St, Los Angeles, CA 90012, USA",90012
62,CBS Studio Center,34.14460029999999,-118.392351,"4024 Radford Ave, Studio City, CA 91604, USA",91604
63,Celebration Theatre,34.0904167,-118.36717320000001,"1049 Havenhurst Dr, West Hollywood, CA 90046, USA",90046
64,"Central Avenue, Los Angeles, California",33.920932799999996,-118.27296509999998,"S Los Angeles St, Willowbrook, CA 90061, USA",90061
65,Los Angeles Public Library,34.050250899999995,-118.25508889999999,"630 W 5th St, Los Angeles, CA 90071, USA",90071
66,Château Élysée,34.1046389,-118.3190476,"5930 Franklin Ave, Los Angeles, CA 90028, USA",90028
67,Chateau Marmont,34.0982596,-118.3684936,"8221 Sunset Blvd, Los Angeles, CA 90046, USA",90046
68,Chavez Ravine Arboretum,34.0831922,-118.2464777,"Chavez Ravine Arboretum, 929 Academy Rd, Los Angeles, CA 90012, USA",90012
69,Chemosphere,34.1275746,-118.368799,"7776 Torreyson Dr, Los Angeles, CA 90046, USA",90046
70,Chicken Boy,34.1085305,-118.1943164,"5558 N Figueroa St, Los Angeles, CA 90042, USA",90042
71,"Chinatown, Los Angeles, California",34.0623339,-118.23833090000001,"Chinatown, Los Angeles, CA, USA",90042
72,Chinese Cemetery of Los Angeles,34.0361961,-118.1724247,"East Los Angeles, CA 90022, USA",90022
73,The Church On the Way,34.200761,-118.444984,"14300 Sherman Way, Van Nuys, CA 91405, USA",91405
74,Cinerama Dome,34.09757329999999,-118.3281753,"6360 Sunset Blvd, Los Angeles, CA 90028, USA",90028
75,William Andrews Clark Memorial Library,34.0333271,-118.3144142,"2520 Cimarron St, Los Angeles, CA 90018, USA",90018
76,Clifton's Cafeteria,34.045420899999996,-118.25300049999998,"648 S Broadway, Los Angeles, CA 90014, USA",90014
77,Craft and Folk Art Museum,34.0621972,-118.3555389,"5814 Wilshire Blvd, Los Angeles, CA 90036, USA",90036
78,"Crenshaw, Los Angeles",34.0181993,-118.34035060000001,"Crenshaw, Los Angeles, CA, USA",90036
79,Crossroads of the World,34.0981907,-118.33565949999999,"6671 Sunset Blvd, Los Angeles, CA 90028, USA",90028
80,Descanso Gardens,34.2014185,-118.21120049999999,"Descanso Gardens, 1418 Descanso Dr, La Cañada Flintridge, CA 91011, USA",91011
81,Disneyland,33.8120918,-117.91897420000001,"1313 Disneyland Dr, Anaheim, CA 92802, USA",92802
82,"Anaheim, California",33.8365932,-117.91430120000001,"Anaheim, CA, USA",92802
83,Dockweiler State Beach,33.93053039999999,-118.4356632,"Dockweiler Beach, 12000 Vista Del Mar, Playa Del Rey, CA 90293, USA",90293
84,Dodger Stadium,34.073851,-118.23995829999998,"1000 Vin Scully Ave, Los Angeles, CA 90012, USA",90012
85,Dolby Theatre,34.102691899999996,-118.3404156,"6801 Hollywood Blvd, Hollywood, CA 90028, USA",90028
86,Dominguez Rancho Adobe,33.8670619,-118.21747830000001,"18127 Alameda St, Compton, CA 90220, USA",90220
87,Drum Barracks,33.784471,-118.25757,"1052 N Banning Blvd, Wilmington, CA 90744, USA",90744
88,Dunbar Hotel,34.006821,-118.256716,"4225 S Central Ave, Los Angeles, CA 90011, USA",90011
89,Dignity Health Sports Park,33.8643777,-118.2611426,"18400 S Avalon Blvd, Carson, CA 90746, USA",90746
90,"Eagle Rock, Los Angeles",34.13915679999999,-118.21408829999999,"Eagle Rock, Los Angeles, CA, USA",90746
91,Eagle Rock Community Cultural Center,34.1396156,-118.21491699999999,"2225 Colorado Blvd, Los Angeles, CA 90041, USA",90041
92,Eames House,34.030013000000004,-118.51944590000001,"203 Chautauqua Blvd, Pacific Palisades, CA 90272, USA",90272
93,Ebell of Los Angeles,34.06120479999999,-118.3248513,"743 S Lucerne Blvd, Los Angeles, CA 90005, USA",90005
94,The Echo ,34.077673700000005,-118.260153,"1822 Sunset Blvd, Los Angeles, CA 90026, USA",90026
95,"Echo Park, Los Angeles",34.078159299999996,-118.2605574,"Echo Park, Los Angeles, CA, USA",90026
96,El Escorpión Park,34.200125,-118.66436100000001,"El Escorpión Park, Los Angeles, CA 91307, USA",91307
97,El Pino ,34.0432495,-118.19237,"500-598 N Indiana St, Los Angeles, CA 90063, USA",90063
98,El Rey Theatre,34.0625,-118.34889199999999,"5515 Wilshire Blvd, Los Angeles, CA 90036, USA",90036
99,Electric Fountain,34.0672822,-118.4104408,"9800 Wilshire Blvd, Beverly Hills, CA 90212, USA",90212
100,Elephant Theatre Company,37.9816224,-122.5615121,"100 Shaw Dr, San Anselmo, CA 94960, USA",94960
101,Elkay Apartments,34.0657194,-118.45279099999999,"638-642 Kelton Ave, Los Angeles, CA 90024, USA",90024
102,"Elysian Park, Los Angeles",34.0838043,-118.23658119999999,"Elysian Park, Los Angeles, CA, USA",90024
103,Encino Oak Tree,34.1531071,-118.511556,"4601 Charmion Ln, Encino, CA 91316, USA",91316
104,Ennis House,34.116192600000005,-118.29278959999999,"2607 Glendower Ave, Los Angeles, CA 90027, USA",90027
105,Estrada Courts,34.02167,-118.20853020000001,"3232 Estrada St, Los Angeles, CA 90023, USA",90023
106,Exposition Park ,34.0149382,-118.28619840000002,"Exposition Park, 700 Exposition Park Dr, Los Angeles, CA 90037, USA",90037
107,Exposition Park Rose Garden,34.017350799999996,-118.2859244,"Exposition Park Rose Garden, 701 State Dr, Los Angeles, CA 90037, USA",90037
108,"Faith Bible Church, Northridge, California",34.2196508,-118.5089956,"8212 Louise Ave, Northridge, CA 91325, USA",91325
109,Fashion Institute of Design & Merchandising,34.0441931,-118.26001720000001,"919 S Grand Ave, Los Angeles, CA 90015, USA",90015
110,"Federal Correctional Institution, Terminal Island",33.729560799999994,-118.26769250000001,"1299 S Seaside Ave, San Pedro, CA 90731, USA",90731
111,"Federal Reserve Bank of San Francisco, Los Angeles Branch",34.0434963,-118.25971659999999,"950 S Grand Ave, Los Angeles, CA 90015, USA",90015
112,Felipe De Neve Branch,34.06331289999999,-118.28397109999999,"2820 W 6th St, Los Angeles, CA 90057, USA",90057
113,Figueroa Street Tunnels,34.075695,-118.2313922,"Figueroa St Tunnel, Los Angeles, CA 90012, USA",90012
114,Los Angeles Flower District,34.0402803,-118.2498308,"766 Wall St, Los Angeles, CA 90014, USA",90014
115,"Forest Lawn Memorial Park, Glendale",34.12462670000001,-118.2511632,"Forest Lawn, 1712 S Glendale Ave, Glendale, CA 91205, USA",91205
116,Fort MacArthur,33.7120951,-118.2960341,"3601 S Gaffey St, San Pedro, CA 90731, USA",90731
117,Fox Bruin Theater,34.062676,-118.4472527,"961 Broxton Ave, Los Angeles, CA 90024, USA",90024
118,"Fox Theater, Westwood Village",34.062676,-118.4472527,"961 Broxton Ave, Los Angeles, CA 90024, USA",90024
119,Fred C. Nelles Youth Correctional Facility,33.9756002,-118.0500779,"11850 Whittier Blvd, Whittier, CA 90606, USA",90606
120,Frederick Mitchell Mooers House,34.053189200000006,-118.27564939999999,"818 S Bonnie Brae St, Los Angeles, CA 90057, USA",90057
121,Gamble House ,34.15164620000001,-118.16095259999999,"4 Westmoreland Pl, Pasadena, CA 91103, USA",91103
122,Garber House ,37.8748204,-122.26611979999998,"1827 Oxford St, Berkeley, CA 94709, USA",94709
123,Gardena Willows Wetland Preserve,33.8750722,-118.29471170000001,"Gardena Willows Wetlands Preserve, 1202 W 170th St, Gardena, CA 90247, USA",90247
124,Garfield Building ,34.044739,-118.25599709999999,"403 W 8th St, Los Angeles, CA 90014, USA",90014
125,Geffen Playhouse,34.06351179999999,-118.44439320000001,"10886 Le Conte Ave, Los Angeles, CA 90024, USA",90024
126,General William J. Fox Airfield,34.738670299999995,-118.21633059999999,"General William J. Fox Airfield, 4725 William J Barnes Ave, Lancaster, CA 93536, USA",93536
127,George R. Kress House,34.0522342,-118.24368490000002,"Los Angeles, CA 90012, USA",90012
128,Gerry Building,34.040287,-118.25435700000001,"910 S Los Angeles St, Los Angeles, CA 90015, USA",90015
129,Getty Center,34.07803579999999,-118.47409540000001,"1200 Getty Center Dr, Los Angeles, CA 90049, USA",90049
130,Glassell Park Elementary School,34.1047011,-118.23621570000002,"2211 W Ave 30, Los Angeles, CA 90065, USA",90065
131,Golden Gate Theater,37.7825,-122.4111111,"1 Taylor St, San Francisco, CA 94102, USA",94102
132,The Grammy Museum,34.0446623,-118.26463559999999,"800 W Olympic Blvd, Los Angeles, CA 90015, USA",90015
133,Granada Shoppes and Studios,34.0605219,-118.2836878,"666 S Lafayette Park Pl, Los Angeles, CA 90057, USA",90057
134,Grand Central Market,34.05065,-118.24879720000001,"317 S Broadway, Los Angeles, CA 90013, USA",90013
135,Grand Park,34.05558360000001,-118.2457138,"Grand Park LA, 200 N Grand Ave, Los Angeles, CA 90012, USA",90012
136,Grauman's Chinese Theater,34.102023100000004,-118.34097120000001,"6925 Hollywood Blvd, Hollywood, CA 90028, USA",90028
137,Grauman's Egyptian Theatre,34.1009124,-118.3366101,"6712 Hollywood Blvd, Los Angeles, CA 90028, USA",90028
138,Great Wall of Los Angeles,34.179235799999994,-118.41428970000001,"12900 Oxnard St, North Hollywood, CA 91606, USA",91606
